Number,Name,Team,Position,PPG,RPG,APG,SPG,BPG,TOPG,FPG,FDPG,+/-,EFFPG,FG%,3PT%,FT%,MPG_x,NAME,GP,MIN,MPG_y,STARTS,3PT FGs M/A, 3PT FGs %,2PT FGs M/A,2PT FGs %,FGs %,DEFENDED M/A,DEFENDED %,OPEN M/A,OPEN %,FTs M/A,FTs %,HI,LO,DEF REBOUNDS,OFF REBOUNDS,AST,STL,BLK,OFF TOs,DEF TOs,TECH,UF,TOTAL
10,"Ildefonso, Dave",ADMU,G,12.0,8.3,2.7,1.0,0.1,2.8,1.7,2.3,7.7,13.5,30.90%,25.90%,62.00%,27.44,Dave Ildefonso,14,23301,27:44:21,14,26/104,25.0,31/79,39.24,31.15,46/169,27.22,11/14,78.57,29/45,64.44,22,3,85,31,37,16,1,1,23,0,0,24
34,"Kouame, Ange",ADMU,C,11.6,11.3,1.7,0.5,2.5,1.4,2.4,3.9,8.7,24.7,54.80%,43.80%,52.70%,27.3,Ange Kouame,14,23101,27:30:04,14,7/14,50.0,58/104,55.77,55.08,51/102,50.0,14/16,87.5,28/52,53.85,22,2,84,76,25,7,36,1,34,0,1,36
2,"Andrade, Bryan",ADMU,G,9.5,2.7,2.1,0.9,0.2,1.5,1.5,1.8,9.9,10.3,36.20%,34.70%,92.60%,25.5,Bryan Andrade,14,21711,25:50:47,14,25/74,33.78,20/50,40.0,36.29,33/108,30.56,12/16,75.0,23/25,92.0,21,3,26,13,30,13,3,1,21,0,0,22
6,"Koon, Chris",ADMU,G,6.3,3.4,1.9,0.7,0.1,1.3,1.2,1.5,2.7,9.2,40.80%,30.60%,70.80%,16.21,Chris Koon,14,13744,16:21:43,0,11/44,25.0,15/25,60.0,37.68,22/64,34.38,4/5,80.0,16/23,69.57,11,1,39,10,23,11,2,1,13,0,1,15
13,"Gomez, Vince",ADMU,G,3.4,0.7,2.0,0.5,0.0,1.3,1.2,1.0,-1.1,3.4,30.60%,29.70%,50.00%,14.15,Vince Gomez,12,10271,14:15:55,0,10/35,28.57,4/12,33.33,29.79,13/38,34.21,1/9,11.11,3/6,50.0,8,0,5,1,25,6,0,0,14,0,0,14
16,"Lazaro, Joshua",ADMU,F,2.8,4.9,0.4,0.5,0.2,0.8,2.1,1.8,3.0,6.4,25.00%,0.00%,56.30%,15.08,Joshua Lazaro,14,12713,15:08:04,0,0/3,0.0,12/43,27.91,26.09,10/42,23.81,2/4,50.0,18/32,56.25,6,0,44,29,6,7,4,4,25,0,0,29
18,"Chiu, Geo",ADMU,C,2.1,3.3,0.5,0.5,0.8,0.7,1.9,1.7,1.5,6.9,38.50%,0.00%,73.30%,10.14,Geo Chiu,14,8597,10:14:04,1,0/1,0.0,10/24,41.67,40.0,10/25,40.0,0/0,0.0,11/15,73.33,7,0,30,20,8,6,12,4,24,0,0,28
70,"Fornilos, Inand",ADMU,F,1.7,1.0,0.2,0.2,0.0,0.3,0.5,0.3,-0.7,2.2,66.70%,33.30%,25.00%,3.09,Inand Fornilos,5,948,3:09:36,0,1/3,33.33,3/3,100.0,66.67,4/5,80.0,0/1,0.0,1/4,25.0,4,0,3,2,1,1,0,0,2,1,0,3
21,"Daves, Matt",ADMU,F,1.6,1.3,0.3,0.1,0.1,0.7,1.3,0.3,0.5,1.8,45.00%,0.00%,33.30%,7.04,Matt Daves,11,4672,7:04:44,0,0/0,0.0,8/18,44.44,44.44,6/16,37.5,2/2,100.0,1/3,33.33,6,0,9,3,2,1,1,2,12,0,0,14
17,"Fetalvero, Jc",ADMU,G,0.6,0.0,0.2,0.0,0.0,0.0,0.4,0.0,-1.8,0.0,20.00%,20.00%,0.00%,3.25,Jc Fetalvero,4,820,3:25:00,0,1/5,20.0,0/0,0.0,20.0,1/5,20.0,0/0,0.0,0/0,0.0,3,0,0,0,1,0,0,0,2,0,0,2
