#,Player,Position,Team,GP,MPG,PPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Robert Bolick,PG,NPB,8,34.4,18.5,6.5,15.3,0.426,2.8,8.5,0.324,2.8,3.6,0.759,1.6,4.3,5.9,5.6,0.4,0.3,1.8,0.6
2,Kevin Alas,PG,NLEX,11,33.5,17.5,5.9,12.3,0.481,2.1,5.7,0.365,3.5,5.5,0.639,1.5,3.9,5.4,5.4,1.2,0,3.4,2.3
3,Jayson Castro William,PG,TNT,24,26.5,14.7,4.5,9.2,0.486,1.5,3.8,0.385,4.3,5.3,0.817,1,3.1,4.1,4.3,1,0.2,2,2
4,Aaron Black,PG,MER,20,32.6,14.6,5.6,12.6,0.44,1.8,3.9,0.449,1.8,2.8,0.625,0.8,4.4,5.2,4.4,0.3,0.1,2,1.8
5,Roi Sumang,PG,NPB,11,31.7,13.5,5.1,10.5,0.487,2.2,5.5,0.4,1.1,1.1,1,0.9,3.4,4.3,6.5,1.4,0,2.3,2.2
6,Juami Tiongson,PG,DYIP,9,32.8,13.4,4.6,14.3,0.318,1.9,6.8,0.279,2.4,3.2,0.759,1.7,2.6,4.2,2,0.6,0,2,1.8
7,Mark Barroca,PG,SHOT,20,30.9,12.7,5.2,12.3,0.423,1.1,3.5,0.3,1.2,1.9,0.649,0.6,3.3,3.8,4.5,2.3,0,2.3,2.5
8,Joseph Casio,PG,BLAC,12,27.1,11.8,3.9,10.2,0.385,2.4,6.7,0.363,1.5,1.8,0.818,0.2,2.2,2.3,3.4,1.2,0.1,1.3,2.6
9,Tyler Tio,PG,FUEL,11,26.3,11.7,4.3,8.3,0.516,2.5,5,0.491,0.7,1.4,0.533,0.3,2,2.3,1.4,0.7,0,0.6,1
10,Jiovani Jalalon,PG,SHOT,20,28.2,11.5,5,12.5,0.398,0.4,1.5,0.267,1.2,1.7,0.676,1.4,4.3,5.7,5.8,1.8,0,2,2.4
11,R.J. Jazul,PG,FUEL,11,22.7,10,3,7.5,0.398,2.5,5.8,0.422,1.5,1.7,0.895,0.5,1.3,1.8,2.1,0.5,0,1.9,0.5
12,Amer Baser,PG,BLAC,12,25,9.8,3.8,10.1,0.372,1.1,5.2,0.21,1.3,1.4,0.882,0.9,1.8,2.7,3.1,0.3,0,1.7,1.7
13,L.A. Tenorio,PG,BGK,14,35.6,9.6,3.4,10.7,0.313,1.6,5.2,0.301,1.4,1.9,0.731,0.6,1.7,2.4,5.1,0.9,0.1,1.9,2.2
14,Gian Robert Mamuyac,PG,ROS,9,21.8,8.7,3.3,8.1,0.411,0.9,3.4,0.258,1.1,1.8,0.625,0.3,2.1,2.4,1.3,1.4,0.1,0.8,1
15,John Paul Calvo,PG,DYIP,11,25.7,8.5,3.4,7.8,0.43,0.5,1.4,0.4,1.2,1.8,0.65,0.5,2.5,3.1,3.8,0.7,0,1.9,1.4
16,Kris Rosales,PG,NLEX,12,23.6,8.1,3.1,8.6,0.359,1.2,4.4,0.264,0.8,1.7,0.45,0.7,1.9,2.6,2.1,0.3,0,1.4,2.3
17,Andrei Caracut,PG,ROS,10,23,7.9,2.7,7.1,0.38,1.1,3.3,0.333,1.4,1.9,0.737,0.8,1.7,2.5,3.7,0.3,0,1.3,2.3
18,Christopher Banchero,PG,MER,20,22.8,7.6,3,7.8,0.381,1.1,3.4,0.328,0.6,0.9,0.647,0.7,1.3,2,2.9,0.6,0.1,1.3,1.6
19,Simon Enciso,PG,SMB,26,25.3,6.7,2.6,6.9,0.372,1.4,4.8,0.294,0.1,0.5,0.143,0.3,1.1,1.4,2.5,0.6,0,1,2.2
20,Regile Ilagan,PG,XERS,12,15.5,6.4,2.3,6.7,0.338,1.3,4,0.333,0.6,0.8,0.7,0.9,1.8,2.7,2.9,0.9,0,0.9,1.2
21,Nard Pinto,PG,BGK,14,19.4,6.2,2.3,5.9,0.39,0.6,2.3,0.281,1,1.4,0.737,0.9,3.2,4.1,3,1,0.1,0.8,1.3
22,Anton Asistio,PG,ROS,9,16.5,6.1,2.1,5.6,0.38,1,3.4,0.29,0.9,1,0.889,0.3,1.1,1.4,1.4,0.6,0,0.9,1.1
23,Allyn Bulanadi,PG,XERS,12,12.7,5.6,2,6.3,0.32,0.9,3.9,0.234,0.7,0.8,0.8,0.2,1.2,1.3,1,0.3,0,0.3,0.4
24,Encho Serrano,PG,FUEL,9,14.8,5.4,2,5.3,0.375,0.3,1.1,0.3,1.1,1.9,0.588,1.7,2.6,4.2,1.4,0.6,0.1,0.6,1.6
25,Mer Jesper Ayaay,PG,NPB,11,14.9,5.2,2.1,5,0.418,0.5,1.5,0.313,0.5,0.7,0.75,0.8,1.4,2.2,0.9,0.1,0.1,0.8,1.7
26,Taylor Browne,PG,XERS,10,11.5,5,1.7,4.1,0.415,1.3,3.5,0.371,0.3,0.4,0.75,0.3,0.9,1.2,0.3,0.6,0,0.5,1.2
27,Chris Ross,PG,SMB,18,24.1,4.9,1.7,5.1,0.341,0.6,2.8,0.196,0.9,1,0.944,0.6,2.6,3.2,4.2,1.6,0.2,1.7,1.7
28,Kib Montalbo,PG,TNT,18,17.1,4.6,1.6,3.9,0.408,0.9,2.3,0.415,0.4,0.7,0.583,0.4,1.3,1.7,1.3,0.9,0.4,0.8,2.1
29,Jayjay Alejandro,PG,TNT,17,12.6,4.4,1.5,3.7,0.413,0.7,1.9,0.364,0.6,0.9,0.733,0.5,0.8,1.3,0.9,0.2,0,0.5,0.6
30,Jerrick Ahanmisi,PG,SHOT,10,10.7,4,1.5,4.2,0.357,0.9,2.8,0.321,0.1,0.1,1,0,0.5,0.5,0.8,0.6,0,0.2,0.8
31,Paul Christian Zamar,PG,SMB,13,9.6,3.8,1.2,2.8,0.444,0.4,1.4,0.278,0.9,1.2,0.75,0.1,0.7,0.8,0.9,0.3,0.1,0.3,1
32,Michael Tolomia,PG,XERS,12,11.6,3.8,1.5,5,0.3,0.5,2.3,0.222,0.3,0.6,0.429,0.2,0.9,1.1,1.3,0.4,0.1,1.2,0.8
33,Alec Stockton,PG,XERS,11,13.5,3.5,1.3,3.5,0.359,0.2,1.3,0.143,0.7,1.2,0.615,0.3,1,1.3,2.5,0.5,0.3,1.1,2.5
34,Philip Paniamogan,PG,NLEX,11,9.7,3.4,1.1,3,0.364,0.7,2.5,0.296,0.5,0.5,1,0.3,1.7,2,1.2,0.5,0,0.3,0.6
35,R.R. Garcia,PG,FUEL,11,9.4,2.2,0.7,2.3,0.32,0.2,1,0.182,0.5,0.6,0.857,0.3,0.9,1.2,1.3,0.1,0,0.6,0.8
36,Anjo Caram,PG,MER,13,7.2,2.2,0.8,2.5,0.344,0.3,1.2,0.267,0.2,0.2,1,0.1,0.7,0.8,0.8,0.2,0,0.4,0.8
37,Justin Melton,PG,BLAC,12,16.3,1.8,0.8,2.5,0.3,0.3,1.3,0.2,0,0,0,0.4,2.1,2.5,1.8,1.3,0,0.8,0.9
38,Kenneth Ighalo,PG,NLEX,13,11,1.5,0.5,2.3,0.233,0.1,0.8,0.091,0.4,0.5,0.833,0.7,1.4,2.1,0.3,0.5,0,0.2,0.8
1,Roger Ray Pogoy,SG,TNT,25,34.2,18.9,6.6,15.6,0.423,2.1,5.5,0.384,3.6,5.2,0.69,0.8,2.5,3.3,2,1.2,0.7,1.8,2.1
2,CJ Perez,SG,SMB,26,34.7,18.4,6.9,15.8,0.437,1.5,5.2,0.296,3,4.3,0.696,1.5,4.8,6.3,4.9,2.5,0.7,2.4,3.5
3,Scottie Thompson,SG,BGK,14,39.8,16.7,6.3,12.4,0.509,1.6,5.1,0.31,2.6,3.5,0.735,2.8,6.4,9.1,5.9,1.5,0.7,2.6,3.1
4,Chris Newsome,SG,MER,21,36.2,16,5.7,12.8,0.446,1.4,3.9,0.358,3.2,4.2,0.764,1.1,5.1,6.2,5.1,0.9,0.1,2.8,3
5,Celedonio Trollano,SG,NLEX,14,30.9,16,5.6,12.4,0.457,2.3,5.5,0.416,2.4,3,0.81,1,4.8,5.8,2.3,0.9,0.6,1.6,1.7
6,Matthew Wright,SG,FUEL,10,34.8,15,5.5,16.1,0.342,2.2,7.4,0.297,1.8,2.4,0.75,0.1,5,5.1,5.9,1.6,0,4.3,2.2
7,Rey Nambatac,SG,ROS,9,31.9,14,4.4,12,0.37,1.2,4.2,0.289,3.9,4.9,0.795,0.7,4.3,5,3,1.1,0,1.8,2.8
8,Paul Lee Dalistan,SG,SHOT,15,26.9,13.6,4.1,11.7,0.349,2.3,6.1,0.37,3.2,3.6,0.889,0.5,2.3,2.8,2,0.4,0.1,1.3,1.5
9,Jericho Cruz,SG,SMB,23,27.3,13.2,5,11.2,0.447,1.1,3.9,0.278,2.1,2.8,0.738,0.6,1.8,2.4,3,0.8,0,1.6,2.7
10,Kevin Ferrer,SG,NPB,11,27.7,11.5,3.7,8.4,0.446,2.8,6.6,0.425,1.3,1.7,0.737,1.2,2.5,3.7,1.3,0.8,0.3,1.5,3
11,Sean Anthony,SG,FUEL,9,25.2,11.4,4.2,10.6,0.4,1.2,3.7,0.333,1.8,2.9,0.615,1.7,5.8,7.4,2.7,1,0.1,1.9,3.1
12,Maverick Ahanmisi,SG,XERS,11,26.6,10.5,3.6,8.9,0.408,1.5,4.8,0.321,1.7,2.2,0.792,1,4.8,5.8,4.7,1.3,0.1,1.7,2.1
13,Stanley Pringle,SG,BGK,12,24.2,8.4,3.3,8.6,0.379,1.3,4.2,0.32,0.6,0.7,0.875,0.6,2.2,2.8,2.5,1.1,0,0.9,1.2
14,Philip Cahilig,SG,DYIP,11,30.2,8.1,3.3,7.9,0.414,1.3,4.1,0.311,0.3,0.7,0.375,3.2,4.7,7.9,1.2,1.1,1.2,1.3,2.9
15,David Murrell,SG,XERS,11,21.2,7.6,3.3,7.2,0.456,0.4,2.2,0.167,0.7,1.4,0.533,1,2.4,3.4,1.3,0.8,0.5,0.7,1.7
16,Mike DiGregorio,SG,XERS,12,17.2,7.6,2.7,7,0.381,0.7,2.6,0.258,1.6,1.9,0.826,0.3,1.1,1.3,0.6,0.4,0,0.9,1.2
17,Jerrick Balanza,SG,NPB,11,23.9,7.2,3.1,6.8,0.453,0.6,2.4,0.269,0.4,0.5,0.667,0.9,1.9,2.8,2.5,0.3,0.3,1.4,2.1
18,Rashawn McCarthy,SG,BLAC,12,27.3,7.2,2.4,8.8,0.274,1.1,5,0.217,1.3,1.7,0.75,0.7,2.9,3.6,3.6,1,0.2,2.3,2.8
19,Gabe Norwood,SG,ROS,7,30,6.6,2.4,5.9,0.415,0.4,1.7,0.25,1.3,2.6,0.5,0.6,4,4.6,3.4,1,0.1,1.6,0.9
20,Jeffrei Chan,SG,BGK,13,13.9,4.9,1.9,4.8,0.403,0.7,2.6,0.265,0.4,0.5,0.833,0.2,1.6,1.8,0.8,0.5,0.2,0.3,0.7
21,Reynel Hugnatan,SG,MER,15,10.4,4.5,1.7,5.1,0.338,0.7,2.9,0.25,0.3,0.4,0.667,0.5,1.3,1.7,0.4,0,0.4,0.7,0.9
22,Allen Mina,SG,DYIP,11,14.6,4.5,1.5,5.5,0.262,1.1,4,0.273,0.5,0.6,0.714,0.5,1,1.5,0.5,0.5,0,0.8,1
23,Adrian Wong,SG,SHOT,20,20.7,4.3,1.6,4.7,0.333,0.8,2.9,0.259,0.4,0.6,0.667,0.5,1.5,2,1,0.4,0.1,0.9,1.2
24,Nick Demusis,SG,ROS,10,12.5,4.2,1.8,4,0.45,0.1,0.5,0.2,0.5,1,0.5,1.1,3.3,4.4,0.7,0.2,0.1,0.4,1.6
25,Jose Raymar,SG,MER,19,12.1,4.2,1.3,3.4,0.391,0.2,0.3,0.5,1.4,1.8,0.743,1.8,2.5,4.3,0.3,0.3,0.2,0.4,1.9
26,Robbie Herndon,SG,SMB,17,9.1,3.8,1.5,3.7,0.397,0.8,2.4,0.325,0.1,0.1,1,0.6,1,1.6,0.2,0.1,0,0.4,0.4
27,Aljon Mariano,SG,BGK,14,14.3,3.6,1.6,4,0.411,0.1,0.7,0.2,0.2,0.5,0.429,0.8,1.1,1.9,0.9,0.2,0.1,0.7,1.2
28,Arthur Dela Cruz,SG,NPB,11,10,3.6,1.4,2.8,0.484,0,0.1,0,0.9,1.1,0.833,0.5,0.8,1.3,0.8,0.2,0,0.8,1.2
29,Paul Varilla,SG,NLEX,8,17.7,3.4,1.3,2,0.625,0.5,1,0.5,0.4,0.9,0.429,0.8,1.9,2.6,0.9,0.3,0.4,0.8,2.8
30,Ryan Reyes,SG,TNT,16,9.4,1.9,0.6,1.9,0.333,0.5,1.6,0.32,0.1,0.1,1,0.3,0.9,1.2,1,0.4,0,0.7,1.4
31,Jansen Rios,SG,FUEL,11,7.5,1.6,0.6,1.9,0.333,0.4,1.3,0.286,0,0.3,0,0.3,0.5,0.8,0.2,0.3,0.3,0.3,0.7
1,Mike Williams,SF,TNT,20,36.1,18.8,6.4,16.5,0.385,3.4,10,0.34,2.7,4,0.663,0.2,3.9,4.1,4.5,0.8,0.1,3,1.9
2,Calvin John Oftana,SF,NLEX,14,31.9,17,6,13.3,0.452,1.6,5.1,0.31,3.4,4.4,0.774,2.1,5.6,7.8,2.8,1.6,0.7,2.5,2.4
3,Aldrech Ramos,SF,DYIP,9,31.1,13.6,5.4,10.1,0.538,0.8,1.8,0.438,1.9,2.1,0.895,2.6,4.4,7,1,0.1,1.1,1.6,3.9
4,Allein Maliksi,SF,MER,20,26.7,13,4.4,11.1,0.398,2.6,6.6,0.397,1.6,2,0.8,0.7,3.4,4.1,1.5,0.9,0.2,1.3,2.7
5,Calvin Abueva,SF,SHOT,19,27.6,12.9,4.5,10.5,0.427,0.8,2.8,0.283,3.2,4.4,0.723,2.1,5.6,7.7,3,0.8,0.9,2.5,4.2
6,Joshua Munzon,SF,DYIP,10,30.3,12.8,4.9,14.3,0.343,1,4.9,0.204,2,3.2,0.625,0.9,3.5,4.4,3.4,1,0.5,2.4,2.1
7,Marcio Lassiter,SF,SMB,26,33.7,12.7,4.6,10.8,0.426,2.5,6.3,0.39,1,1.2,0.867,0.5,3,3.6,1.9,0.9,0.2,1.5,2.8
8,Arwind Santos,SF,NPB,11,35.2,12.3,4.8,14.1,0.342,1.4,6.6,0.205,1.3,1.5,0.824,1.5,7.3,8.8,1.5,0.8,1.9,2.4,3.2
9,J.R. Quinahan,SF,NLEX,13,26.4,11.8,4.8,12.1,0.395,1,3.7,0.271,1.2,2.2,0.552,0.5,3.9,4.5,2.5,0.3,0.9,1.2,2.2
10,Vic Manuel,SF,SMB,20,18.5,10.7,4.4,8.9,0.492,0,0,0,2,2.9,0.702,0.4,3,3.3,1.1,0.4,0.5,1.1,2.6
11,Beau Belga,SF,ROS,10,25.5,10.1,3.7,9.9,0.374,1.1,5,0.22,1.6,2.6,0.615,1.1,4,5.1,3.4,0.3,0.1,2.6,3.6
12,Rey Anthony Suerte,SF,BLAC,12,22.9,9.2,3.1,7.7,0.402,0.8,2.2,0.346,2.3,3.1,0.73,0.7,3.3,3.9,1.7,1.1,0.4,1.8,2.7
13,Kier Quinto,SF,MER,21,22.4,8.8,3.2,6.9,0.465,0.8,2.6,0.296,1.6,1.9,0.872,0.8,1.9,2.6,2.7,0.8,0,1.2,2.5
14,Javee Mocon,SF,FUEL,10,30.8,8.7,3.5,9.2,0.38,0.6,2.2,0.273,1.1,1.3,0.846,2.7,5.4,8.1,1.8,0.4,0.5,1.8,2
15,Tyrus Hill,SF,XERS,12,19.8,8,3.3,6.1,0.534,0.3,0.8,0.333,1.3,2.8,0.441,1.5,1.9,3.4,0.7,0.3,0.3,0.8,1.3
16,Glenn Khobuntin,SF,TNT,23,24.5,7.7,2.8,7.1,0.39,1.3,4.1,0.309,0.9,1.3,0.677,1.6,3.9,5.4,0.8,0.3,0.1,1,2.4
17,James Sena,SF,BLAC,11,13.1,7.4,2.8,5.1,0.554,1.4,2.3,0.6,0.4,0.6,0.571,0.7,1.5,2.3,1.1,0.2,0.1,0.5,1.6
18,Javier Joaquin Gomez de Liano,SF,DYIP,11,21.4,6.6,2.5,6.5,0.394,0.5,2.6,0.207,1,1.2,0.846,0.9,3,3.9,1.8,0.2,0.3,1.2,0.8
19,Larry Muyang,SF,FUEL,11,13,5.7,2.2,3.4,0.649,0,0.1,0,1.4,2,0.682,1.9,2.3,4.2,0.2,0.3,0.2,0.5,2.4
20,Anthony Semerad,SF,NLEX,14,22.7,5.4,1.9,4.4,0.443,0.8,2.4,0.324,0.8,0.9,0.846,1.6,1.8,3.4,0.6,0.6,0.1,0.9,2.7
21,Kevin Barkley Ebona,SF,BLAC,12,18.1,4.6,2,5.1,0.393,0.1,0.4,0.2,0.5,1.3,0.4,1.7,2.7,4.3,1.3,0.4,0.8,0.9,2
22,Kevin Racal,SF,XERS,11,17.3,4.5,1.6,4,0.409,0.7,2,0.364,0.5,0.6,0.857,0.1,1.8,1.9,0.8,0.4,0.2,0.7,1.1
23,Rome de la Rosa,SF,SHOT,19,23.9,4.5,1.6,4.4,0.357,0.5,2,0.237,0.9,1.1,0.85,0.9,1.7,2.7,0.5,0.6,0.1,0.6,1.8
24,Jackson Corpuz,SF,SHOT,18,13,4.5,1.7,4.1,0.425,0.4,1.4,0.28,0.7,1.1,0.6,1.1,2.2,3.2,0.6,0.4,0.4,0.7,3.2
25,Fredrick Tungcab,SF,TNT,10,5.9,3.8,1.4,2.8,0.5,0.7,1.4,0.5,0.3,0.3,1,0.2,0.8,1,0.8,0.6,0,0.8,0.3
26,Kyle Pascual,SF,MER,18,14,2.7,1.1,2.8,0.4,0,0.1,0,0.5,0.6,0.818,0.9,1.3,2.2,0.5,0.3,0.2,0.5,3.3
27,Von Rolfe Pessumal,SF,SMB,16,5.2,2.4,0.9,1.8,0.483,0.3,0.9,0.333,0.3,0.4,0.714,0.3,0.4,0.7,0.1,0.3,0,0.2,0.4
28,Alvin Pasaol,SF,MER,18,6.6,2.1,0.7,2.2,0.3,0.3,1.3,0.261,0.4,0.5,0.778,0.2,0.8,0.9,0.5,0.1,0.3,0.5,1.5
29,Russell Escoto,SF,SHOT,12,5.7,1.7,0.8,2.3,0.321,0.2,0.6,0.286,0,0.2,0,0.2,0.8,0.9,0.1,0.1,0,0.2,1
30,Christian Balagasay,SF,DYIP,11,10.5,1.6,0.5,2.2,0.25,0.1,0.7,0.125,0.5,0.5,0.833,0.8,1.3,2.1,0.1,0.1,0.1,0.4,1.7
31,Michael Canete,SF,SMB,11,4.8,1.6,0.7,1.7,0.421,0,0.3,0,0.2,0.2,1,0.5,0.3,0.7,0.2,0.3,0,0.4,0.5
32,Matt Ganuelas-Rosser,SF,TNT,25,13.3,1.5,0.6,1.1,0.536,0,0,0,0.3,0.7,0.444,0.8,1.6,2.4,1.6,0.6,0.7,0.4,1.9
33,Nonoy Baclao,SF,MER,16,7.1,1.1,0.4,1.7,0.259,0.1,0.3,0.25,0.1,0.1,1,0.4,0.8,1.1,0.3,0.4,0.1,0.4,0.7
34,Gabriel Banal,SF,TNT,11,6.1,1,0.3,1.3,0.214,0.3,0.8,0.333,0.2,0.2,1,0.3,0.8,1.1,0.7,0,0.2,0.5,0.5
1,Jamie Orme,PF,NPB,10,37,17.2,6.8,15.8,0.43,1.7,5.4,0.315,1.9,3.5,0.543,3.5,6.8,10.3,2.2,1.9,1.4,1.9,2.3
2,Ian Paul Sangalang,PF,SHOT,20,33.3,15.7,6.3,14.2,0.444,0,0.1,0,3.1,4.6,0.674,2.8,5.4,8.2,1.2,0.8,0.9,2,2.4
3,Christian Standhardinger,PF,BGK,14,34.4,14.2,6.4,12.8,0.497,0,0,0,1.5,4.1,0.362,2.4,7.1,9.5,4.3,1.1,0.2,2.6,2.4
4,Renato Ular,PF,BLAC,11,27.4,14.2,6.1,11.3,0.54,0.6,2.1,0.304,1.4,1.6,0.833,3.1,5.3,8.4,0.3,0.4,0.3,0.9,2
5,Leonard Santillan,PF,ROS,11,26.4,11.8,4.1,10,0.409,1.3,3.3,0.389,2.4,3.5,0.667,2,5.1,7.1,0.7,0.6,0.6,1.8,1.8
6,Michael Joseph Nieto,PF,ROS,10,28.1,11.7,4.3,9.3,0.462,1.6,4.5,0.356,1.5,1.7,0.882,1.1,3.2,4.3,2.3,0.8,0,0.9,1.7
7,Clifford Hodge,PF,MER,21,34.2,11.3,4.3,8.5,0.508,0.2,0.7,0.286,2.5,4.2,0.584,3.5,4.9,8.4,2.6,1.3,1.2,1.2,3.5
8,Eric James Camson,PF,DYIP,10,19.1,9.5,3,8,0.375,1.2,3.2,0.375,2.3,2.8,0.821,1.2,3.5,4.7,1,0.4,0.1,1.5,2.4
9,Abu Jahal Tratter,PF,XERS,7,21.6,9.1,3.3,7.7,0.426,0,0,0,2.6,4.3,0.6,2,3.4,5.4,1.1,0.6,0.4,2.9,2
10,Norberto Torres,PF,ROS,11,18.6,8.1,2.9,6.4,0.457,1.1,2.8,0.387,1.2,2.2,0.542,1,2.9,3.9,1,0.3,0.5,1.1,2.5
11,Kelly Williams,PF,TNT,23,28.6,7.5,3.1,7.3,0.425,0.4,1.7,0.25,0.9,2,0.447,2,5.5,7.6,1.5,0.8,0.4,1.6,2.4
12,John Rodney Brondial,PF,SMB,24,21.3,6.4,2.8,5,0.555,0,0.1,0,0.9,1.6,0.538,3,4.2,7.1,1.1,0.3,0.3,0.9,2.5
