,Number,Name,Team,Position,PPG,RPG,APG,SPG,BPG,TOPG,FPG,FDPG,+/-,EFFPG,FG%,3PT%,FT%,MPG
0,10,"Ildefonso, Dave",ADMU,G,12.0,8.3,2.7,1.0,0.1,2.8,1.7,2.3,7.7,13.5,30.90%,25.90%,62.00%,27.44
1,34,"Kouame, Ange",ADMU,C,11.6,11.3,1.7,0.5,2.5,1.4,2.4,3.9,8.7,24.7,54.80%,43.80%,52.70%,27.3
2,15,"Padrigao, Forthsky",ADMU,G,11.3,4.3,5.5,2.3,0.0,2.4,1.0,2.2,10.5,14.4,31.20%,24.30%,87.90%,26.41
3,1,"Ballungay, Kai",ADMU,F,11.1,5.6,1.0,0.9,0.1,1.4,1.7,1.5,7.6,15.0,56.40%,44.70%,74.30%,22.01
4,2,"Andrade, Bryan",ADMU,G,9.5,2.7,2.1,0.9,0.2,1.5,1.5,1.8,9.9,10.3,36.20%,34.70%,92.60%,25.5
5,6,"Koon, Chris",ADMU,G,6.3,3.4,1.9,0.7,0.1,1.3,1.2,1.5,2.7,9.2,40.80%,30.60%,70.80%,16.21
6,13,"Gomez, Vince",ADMU,G,3.4,0.7,2.0,0.5,0.0,1.3,1.2,1.0,-1.1,3.4,30.60%,29.70%,50.00%,14.15
7,16,"Lazaro, Joshua",ADMU,F,2.8,4.9,0.4,0.5,0.2,0.8,2.1,1.8,3.0,6.4,25.00%,0.00%,56.30%,15.08
8,0,"Garcia, Paul",ADMU,G,2.6,1.1,0.5,0.1,0.0,0.8,0.7,0.6,0.3,2.0,28.90%,34.50%,62.50%,8.01
9,18,"Chiu, Geo",ADMU,C,2.1,3.3,0.5,0.5,0.8,0.7,1.9,1.7,1.5,6.9,38.50%,0.00%,73.30%,10.14
10,70,"Fornilos, Inand",ADMU,F,1.7,1.0,0.2,0.2,0.0,0.3,0.5,0.3,-0.7,2.2,66.70%,33.30%,25.00%,3.09
11,21,"Daves, Matt",ADMU,F,1.6,1.3,0.3,0.1,0.1,0.7,1.3,0.3,0.5,1.8,45.00%,0.00%,33.30%,7.04
12,24,"Quitevis, Sean",ADMU,G,0.9,1.4,0.5,0.1,0.0,0.3,0.5,0.6,0.1,2.6,42.90%,33.30%,50.00%,4.13
13,17,"Fetalvero, Jc",ADMU,G,0.6,0.0,0.2,0.0,0.0,0.0,0.4,0.0,-1.8,0.0,20.00%,20.00%,0.00%,3.25
14,22,"Ong, Kyle",ADMU,C,0.3,0.0,0.0,0.3,0.2,0.2,0.3,0.0,-0.5,0.5,50.00%,0.00%,0.00%,1.51
15,11,"Lao, Franz",ADMU,G,0.2,0.2,0.2,0.2,0.0,0.2,0.7,0.2,-1.2,0.3,0.00%,0.00%,50.00%,2.0
16,9,"Cabanero, NIc",UST,F,17.6,6.6,2.8,0.8,0.1,3.5,1.6,4.2,-10.0,15.8,39.00%,29.60%,51.70%,30.12
17,23,"Faye, Adama",UST,C,11.4,12.2,1.0,0.4,2.2,3.8,3.1,5.2,-11.0,19.5,45.10%,0.00%,38.40%,30.57
18,17,"Pangilinan, Miguel",UST,G,6.6,4.6,1.4,0.9,0.1,1.6,2.2,1.4,-8.0,7.6,28.80%,27.90%,68.20%,25.46
19,0,"Lazarte, Ivan",UST,G,5.5,2.8,0.8,0.8,0.0,0.5,1.3,1.8,-5.8,6.0,28.40%,19.40%,60.70%,15.18
20,20,"Mantes, Alvin",UST,,5.0,7.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,11.0,50.00%,100.00%,100.00%,0.0
21,16,"Manalang, Paul",UST,G,4.5,2.7,2.8,0.6,0.0,2.0,2.5,2.5,-7.2,5.5,19.30%,17.70%,77.80%,25.08
22,4,"Manaytay, Christian",UST,F,3.9,4.9,1.4,0.9,0.3,1.9,2.6,1.9,-6.1,7.8,37.30%,0.00%,45.80%,19.08
23,20,"Garing, JC",UST,G,3.5,3.9,1.3,0.9,0.1,1.0,1.8,0.8,-3.8,6.4,34.70%,16.00%,50.00%,15.43
24,1,"Calimag, Richi",UST,G,3.5,2.9,0.8,0.3,0.1,1.0,1.4,0.5,-5.4,4.0,30.00%,27.00%,55.60%,14.33
25,12,"Mantua, Royce",UST,F,3.0,2.2,0.6,0.2,0.1,1.2,1.5,0.8,-5.5,2.5,25.50%,24.00%,58.30%,10.32
26,11,"Laure, Eddie",UST,F,2.0,1.9,0.7,0.2,0.1,0.8,0.7,0.3,-1.3,3.7,57.10%,50.00%,50.00%,7.47
27,15,"Duremdes, Kenji",UST,G,1.9,2.5,0.8,0.2,0.0,0.6,0.7,0.7,-4.4,3.5,25.80%,14.30%,63.60%,10.21
